Date,Pool Number,Salinity (ppt),Second Salinity Noted (lower),Temperature (C),Total ,Unmarked,Red (2021/2020),Orange (2019),Pink (2018),Yellow (2017),Dead Individuals,Eggmasses present,
4/14/2015,,,,,43,,,,,,,2,2 females laying
4/16/2015,NA,0.1,,10.4,,,,,,,,2,
4/16/2015,NA,0.2,,8.8,,,,,,,,,
4/18/2015,,,,,63,,,,,,,2,
4/19/2015,NA,0.1 - 0.2,,,129,,,,,,,,
4/20/2015,,,,,87,,,,,,,,
4/21/2015,,,,,69,,,,,,2,,
4/21/2015,NA,10,,,,,,,,,2,,
4/21/2015,NA,24,0.1,,,1,,,,,,,
4/21/2015,NA,8,,,,3,,,,,,,
4/21/2015,NA,0.5,,,,30,,,,,,3,
4/21/2015,NA,0.2,,,,20,,,,,,,
4/21/2015,NA,14,1,,,5,,,,,,,
4/21/2015,NA,10,,,,2,,,,,,,
4/22/2015,,,,,,,,,,,2,,
4/23/2015,,,,,8,,,,,,1,,
4/23/2015,NA,25,,,,,,,,,,,
4/23/2015,NA,29,,,,,,,,,,,
4/23/2015,NA,30,,,,1,,,,,,,
4/23/2015,NA,27,,,,,,,,,,,
4/23/2015,NA,0.3,,,,4,,,,,,,
4/23/2015,NA,0.4,,,,3,,,,,,,
4/24/2015,,,,,4,,,,,,,4,
4/25/2015,,,,,16,,,,,,,14,
4/25/2015,NA,26.4,0.3,,,,,,,,,,
4/25/2015,NA,27.4,3.5,,,,,,,,,,
4/25/2015,NA,5.5,2,,,,,,,,,,
4/25/2015,NA,29,22.9,,,,,,,,,,
4/25/2015,NA,2.1,,,,1,,,,,,,
4/25/2015,NA,0.4,,,,1,,,,,,,
4/27/2015,,,,,5,,,,,,,42,
4/28/2015,,,,,9,,,,,,,,
4/28/2015,,0.1,,,,1,,,,,,,
4/28/2015,,22,,,,,,,,,,,
4/28/2015,,2.8,,,,,,,,,,,
4/28/2015,,22,,,,1,,,,,,,
4/28/2015,,21.7,,,,,,,,,,,
4/28/2015,,9.2,3,,,2,,,,,,,
5/1/2015,,,,,1,,,,,,,,
5/3/2015,,,,,,,,,,,,43,
