Date,Pool Number,Salinity (ppt),Second Salinity Noted (lower),Temperature (C),Total ,Unmarked,Red (2021/2020),Orange (2019),Pink (2018),Yellow (2017),Dead Individuals,Eggmasses present
04/02/2016,0,,,,3,3,,,,,,
04/02/2016,1,0.2,,,1,1,,,,,,
04/02/2016,2,0.2,,,5,5,,,,,,
04/02/2016,3,0.3,,,14,14,,,,,,
04/02/2016,4,0.3,,,4,4,,,,,,X
04/02/2016,6,0.2,,,4,4,,,,,,
04/02/2016,7,0.3,,,3,3,,,,,,
04/02/2016,8,0.9,,,6,6,,,,,,X
04/02/2016,9,0.3,,,3,3,,,,,,
04/02/2016,10,0.9,,,1,1,,,,,,
04/02/2016,11,0.3,,,1,1,,,,,,
04/02/2016,12,0.2,,,1,1,,,,,,
04/02/2016,13,0.4,,,2,2,,,,,,
04/04/2016,4,,,,1,1,,,,,,
04/07/2016,2,0.2,,,4,4,,,,,,X
04/07/2016,3,0.2,,,7,7,,,,,,X
04/07/2016,7,0.3,,,1,1,,,,,,
04/07/2016,8,0.5,,,1,1,,,,,,X
04/07/2016,9,0.3,,,2,2,,,,,,
04/07/2016,11,0.3,,,8,8,,,,,,
04/09/2016,3,28,,,1,1,,,,,,
04/12/2016,2,10.7,,,1,1,,,,,,X
04/12/2016,3,24.2,,,4,4,,,,,,X
04/12/2016,11,0.9,,,2,2,,,,,,X
04/12/2016,13,2.2,,,1,1,,,,,,
04/12/2016,14,10.9,,,2,2,,,,,,X
04/20/2016,8,0.8,3.2,,1,1,,,,,,X
05/07/2016,2,0.2,,,1,1,,,,,,X
