date,recapture,pool_num,pit_num,image,color,sex,year,air_temp_c,salinity_ppt,pool_temp_c,notes,,
2022-03-18,n,0,900043000243266,IMG0836,orange,m,2019,4,0,4,Upland forest below Otter Cliffs parking lot. Lung tissue herniated upon incision.,,
2022-03-18,n,0,900043000243274,IMG0787,red,m,2020_2021,4,0,4,"Larger pool above 5, left of 6",,
2022-03-19,n,7,900043000243216,IMG0876,red,m,2020_2021,5,0,5,,,
2022-03-19,n,11,900043000243261,IMG0860,red,m,2020_2021,5,0,5,,,
2022-03-19,y,12,900043000243266,IMG0836,orange,m,2019,5,0,5,Severed herniated lung tissue upon recapture. Hopes are higher for this individual's recovery. ,,
2022-03-19,y,5,900043000243274,IMG0787,red,m,2020_2021,5,0,5,"Accidentally double-tagged, #900043000243219",,
2022-03-19,n,0,900043000243278,IMG0852,yellow,m,2017,5,0,5,In brush above pool 8,,
2022-03-19,n,7,900043000243293,IMG0867,NA,m,2022,5,0,5,,,
2022-03-19,n,4,900043000243303,IMG0855,orange,m,2019,5,0,5,,,
2022-03-20,y,7,900043000243216,IMG0876,red,m,2020_2021,5.5,0.29,5.5,,,
2022-03-20,n,0,900043000243247,IMG0891,NA,m,2022,5.5,0,5.5,,,
2022-03-20,y,5,900043000243278,IMG0852,yellow,m,2017,5.5,0.32,5.5,,,
2022-03-20,n,7,900043000243305,IMG0910,NA,m,2022,5.5,0.29,5.5,,,
2022-03-20,n,7,900043000243316,IMG0912,red,m,2020_2021,5.5,0.29,5.5,,,
2022-03-20,n,7,900043000243330,IMG0903,red,m,2020_2021,5.5,0.29,5.5,,,
2022-03-20,n,7,900043000243336,IMG0896,red,m,2020_2021,5.5,0.29,5.5,,,
2022-03-20,n,0,900043000243337,IMG0913,NA,m,2022,5.5,0,5.5,,,
2022-03-20,n,12,900043000243355,IMG0907,orange,m,2019,5.5,0.3,5.5,,,
2022-03-20,n,5,900043000243358,IMG0926,NA,m,2022,5.5,0.32,5.5,,,
2022-03-20,n,5,900043000243382,IMG0916,NA,m,2022,5.5,0.32,5.5,,,
2022-03-20,n,5,900043000243383,IMG0922,NA,m,2022,5.5,0.32,5.5,,,
2022-03-21,y,0,900043000243336,IMG0896,red,m,2020_2021,2,0,2,In moss just above pool 6,,
2022-03-24,n,6,900043000243208,IMG0997,orange,f,2019,1.6,0.19,4.3,,,
2022-03-24,y,7,900043000243216,IMG0876,red,m,2020_2021,1.6,0.2,4.4,,,
2022-03-24,y,7,900043000243261,IMG0860,red,m,2020_2021,1.6,0.2,4.4,,,
2022-03-24,n,7,900043000243264,IMG0998,orange,m,2019,1.6,0.2,4.4,,,
2022-03-24,y,7,900043000243274,IMG0787,red,m,2020_2021,1.6,0.2,4.4,,,
2022-03-24,y,6,900043000243337,IMG0913,NA,m,2022,1.6,0.19,4.3,,,
2022-03-25,y,7,900043000243216,IMG0876,red,m,2020_2021,2.2,0.27,5.8,,,
2022-03-25,y,7,900043000243261,IMG0860,red,m,2020_2021,2.2,0.27,5.8,,,
2022-03-25,y,3,900043000243303,IMG0855,orange,m,2019,2.2,0.29,5.8,,,
2022-03-25,y,13,900043000243305,IMG0910,NA,m,2022,2.2,0.3,5.9,,,
2022-03-25,n,0,900043000243325,IMG1017,NA,m,2022,2.2,0.19,5.2,,,0
2022-03-25,n,6,900043000243347,IMG1057,NA,m,2022,2.2,0.27,5.8,,,
2022-03-25,n,0,900043000243359,IMG1015,red,f,2020_2021,2.2,0.19,5.2,,,
2022-03-25,n,13,900043000243372,IMG1052,NA,m,2022,2.2,0.3,5.9,,,
2022-03-25,n,7,900043000243373,IMG1033,orange,m,2019,2.2,0.27,5.8,,,
2022-03-25,n,1,900043000243379,IMG1020,NA,m,2022,2.2,0.36,5.4,,,
2022-03-25,n,7,900043000243384,IMG1030,orange,m,2019,2.2,0.27,5.8,Regenerating foot. Color tag extremely subtle,,
2022-03-25,n,1,900043000243402,IMG1018,orange,m,2019,2.2,0.36,5.4,,,
