date,recapture,pool_num,new_pit,pit_num,color,sex,year,air_temp_c,salinity_ppt,pool_temp_c,2nd_pool_temp_c,notes
4/16/23,,0,n,3262,orange,,2019,,,,,
4/16/23,,0,n,3228,,,2022,,,,,
4/16/23,,0,y,4745,,,2023,,,,,no color
4/16/23,,0,y,4854,,,2023,,,,,above pool 2
4/16/23,,1,n,3404,,,2022,,0.14,10.4,,
4/16/23,,1,n,3286,,,2022,,0.14,10.4,,
4/16/23,,1,n,3279,,,2022,,0.14,10.4,,
4/16/23,,1,y,4764,,,2023,,0.14,10.4,,
4/16/23,,2,n,3403,red,,2021,,0.17,10.7,,
4/16/23,,2,n,3402,pink,,2018,,0.17,10.7,,
4/16/23,,2,n,3339,yellow,,2017,,0.17,10.7,,
4/16/23,,2,n,4854,,,2022,,0.17,10.7,,
4/16/23,,2,n,4735,yellow,,2017,,0.17,10.7,,previously encountered tonight on the rocks
4/16/23,,2,y,3284,,,2023,,0.17,10.7,,2 untagged gravid females
4/16/23,,7,n,3292,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3274,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3289,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3321,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3374,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3365,yellow,,2017,,0.23,10.4,,
4/16/23,,7,y,4800,,,2023,,0.23,10.4,,
4/16/23,,7,n,3304,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3354,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3253,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3388,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3254,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3292,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3283,red,,2021,,0.23,10.4,,
4/16/23,,7,n,3258,orange,,2019,,0.23,10.4,,
4/16/23,,7,n,3357,orange,,2019,,0.23,10.4,,
4/16/23,,7,n,3264,orange,,2019,,0.23,10.4,,
4/16/23,,7,n,3266,orange,,2019,,0.23,10.4,,
4/16/23,,7,n,3206,orange,,2019,,0.23,10.4,,
4/16/23,,7,n,3248,pink,,2018,,0.23,10.4,,
4/16/23,,7,n,4741,pink,,2018,,0.23,10.4,,
4/16/23,,7,n,3231,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3348,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3375,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3237,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3315,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3259,yellow,,2017,,0.23,10.4,,
4/16/23,,7,n,3242,yellow,,2017,,0.23,10.4,,
4/16/23,,7,y,4883,,,2023,,0.23,10.4,,
4/16/23,,7,y,3358,,,2023,,0.23,10.4,,
4/16/23,,7,y,4863,,,2023,,0.23,10.4,,
4/16/23,,7,y,3218,,,2023,,0.23,10.4,,
4/16/23,,7,y,4714,,,2023,,0.23,10.4,,
4/16/23,,7,y,4741,pink,,2018,,0.23,10.4,,
4/16/23,,7,y,4746,red,,2021,,0.23,10.4,,
4/16/23,,7,y,4767,,,2023,,0.23,10.4,,
4/16/23,,5,n,3396,red,,2021,,0.14,11,,
4/16/23,,5,n,3326,red,,2021,,0.14,11,,
4/16/23,,5,n,3207,orange,,2019,,0.14,11,,
4/16/23,,5,n,3396,pink,,2018,,0.14,11,,
