Date,Pool Number,Salinity (ppt),Second Salinity Noted (lower),Temperature (C),Total ,Unmarked,Red (2021/2020),Orange (2019),Pink (2018),Yellow (2017),Dead Individuals,Eggmasses present,Returns Per Night,Color
3/30/2019,8,N/A,,,1,,,,,1,,,1,Yellow
3/30/2019,5,N/A,,,1,1,,,,,,,,
4/3/2019,8,0.2,,6,1,1,,,,,,,,
4/3/2019,5,0.22,,4.9,1,1,,,,,,,,
4/3/2019,11,17.7,,9,1,1,,,,,,,,
4/3/2019,7,23,,6.7,1,1,,,,,,,,
4/6/2019,11,0.25,,8.3,1,,,,,1,,,3,Yellow
4/6/2019,0,0.11,,5.7,1,,,,,1,,,,
4/6/2019,7,0.4,,9.1,4,3,,,,1,,,,
4/6/2019,15,0.27,,6.7,1,1,,,,,,,,
4/13/2019,2,0.22,,,1,1,,,1,,,,2,Yellow
4/13/2019,4,8.73,,,1,1,,,,,,,3,Pink
4/13/2019,5,0.18,,,10,9,,,,,,,,
4/13/2019,6,0.14,,,5,5,,,,,,,,
4/13/2019,7,1.16,,,25,10,,,,,,,,
4/13/2019,8,0.13,,,1,,,,,,,,,
4/13/2019,9,0.14,,,1,,,,,,,,,
4/13/2019,10,0.2,,,2,,,,1,1,,,,
4/13/2019,11,0.36,,,7,,,,1,,,,,
4/13/2019,12,0.21,,,9,5,,,,,,,,
4/13/2019,13,0.23,, ,9,4,,,,1,,,,
4/13/2019,15,N/A,,,0,,,,,,,,,
4/14/2019,1,0.56,,,4,,,,,,,,,
4/14/2019,2,1.8,,,3,,,,,,,,,
4/14/2019,5,0.14,,,3,,,,,,,,,
4/14/2019,6,0.12,,,3,,,,,,,,,
4/14/2019,7,1.02,,,5,,,,,,,,,
4/14/2019,12,0.2,,,2,,,,,,,,,
4/15/2019,0,N/A,,,0,,,,,,,,5,Yellow
4/15/2019,1,0.15,,,2,,,,,1,,,1,Pink
4/15/2019,2,0.44,,,3,2,,,1,,,,,
4/15/2019,4,3.56,,,1,1,,,,,,,,
4/15/2019,5,0.16,,,6,,,,,,,,,
4/15/2019,6,0.17,,,9,,,,,,,,,
4/15/2019,7,0.22,,,29,15,,,,3,,,,
4/15/2019,8,0.16,,,1,,,,,1,,,,
4/15/2019,9,0.14,,,2,,,,,,,,,
4/15/2019,10,0.19,,,1,,,,,,,,,
4/15/2019,11,4.63,,,6,,,,,,,,,
4/15/2019,12,0.24,,,6,,,,,,,,,
4/15/2019,13,0.23,,,6,,,,,,,,,
4/15/2019,15,0.34,,,12,,,,,,,,,
4/17/2019,0,N/A,,,1,1,,,,,,,,
4/17/2019,2,0.39,,10.6,2,2,,,,,,,,
4/17/2019,7,0.15,,9.7,1,1,,,,,,,,
4/17/2019,9,3.44,,11.5,1,1,,,,,,,,
4/17/2019,11,9.26,,11.8,0,,,,,,,,,
4/17/2019,13,0.22,,10.7,0,,,,,,,,,
4/17/2019,15,0.22,,8.5,0,,,,,,,,,
4/20/2019,0,N/A,,,3,2,,,,,,,9,Yellow
4/20/2019,1,0.17,,,2,1,,,,1,,,1,Pink
4/20/2019,2,0.14,,,2,1,,,,1,,,,
4/20/2019,4,3.44,,,1,1,,,,,,,,
4/20/2019,5,0.22,,,2,2,,,,,,,,
4/20/2019,6,0.25,,,2,2,,,,,,,,
4/20/2019,7,0.18,,,12,8,,,1,3,,,,
4/20/2019,8,0.13,,,1,,,,,1,,,,
4/20/2019,9,0.13,,,1,1,,,,,,,,
4/20/2019,11,0.21,,,8,7,,,,1,,,,
4/20/2019,12,0.19,,,4,4,,,,,,,,
4/20/2019,13,0.2,,,2,1,,,,1,,,,
4/20/2019,15,0.35,,,9,8,,,,1,,,,
4/22/2019,0,N/A,,,4,4,,,,,,,7,Yellow
4/22/2019,1,0.13,,,4,3,,,,1,,,,
