Date,Pool Number,Salinity (ppt),Second Salinity Noted (lower),Temperature (C),Total,Unmarked,Red (2021/2020),Orange (2019),Pink (2018),Yellow (2017),Dead Individuals,Eggmasses present,Returns Per Night,Color/Year,Top # of Returns
3/27/21,1,0.29,,7.1,1,,,1,,,,,2,Orange/2019,12 Orange on 4/10
3/27/21,8,0.15,,7.7,1,1,,,,,,,,,10 Yellow on 4/10
3/27/21,12,0.26,,7.3,1,1,,,,,,,,,20 Red on 4/10 (likely tagged in 2021)
3/27/21,13,0.37,,7.7,1,1,,,,,,,,,
3/27/21,15,0.28,,7.7,2,2,,,,,,,,,
3/27/21,0,,,,2,1,,1,,,,,,,
3/29/21,1,30.13,,9.3,,,,,,,,,,,
3/29/21,2,30.19,,9.7,,,,,,,,,,,
3/29/21,3,28.28,,9,,,,,,,,,,,
3/29/21,4,30.35,,9,,,,,,,,,,,
3/29/21,5,26.72,,11.2,,,,,,,,,,,
3/29/21,6,4.25,,8.2,,,,,,,,,,,
3/29/21,7,25.97,26.84,11.9,,,,,,,,,,,
3/29/21,8,30.43,,11.1,,,,,,,,,,,
3/29/21,9,1.23,,7.8,,,,,,,,,,,
3/29/21,10,28.09,,9.8,,,,,,,,,,,
3/29/21,11,28.52,,11,,,,,,,,,,,
3/29/21,12,21.86,,10.5,,,,,,,,,,,
3/29/21,13,30.26,,10.6,,,,,,,,,,,
3/29/21,15,21.64,,11.4,2,2,,,,,,,,,
3/30/21,1,14.71,,11.8,,,,,,,,,,,
3/30/21,2,13.65,,12.1,,,,,,,,,,,
3/30/21,3,15.63,15.63,11.9,,,,,,,,,,,
3/30/21,4,29.94,,10.1,,,,,,,,,,,
3/30/21,5,26.6,,12.4,,,,,,,,,,,
3/30/21,6,5.9,,8.1,,,,,,,,,,,
3/30/21,7,0.81,26.8,8,2,2,,,,,,,,,
3/30/21,8,25.3,,10.3,1,x,,,,,1,,,,
3/30/21,8,30.1,,11.6,,,,,,,,,,,
3/30/21,10,26.4,,11.4,,,,,,,,,,,
3/30/21,11,26.4,,15,1,x,,,,,1,,,,
3/30/21,12,8.2,,11.9,,,,,,,,,,,
3/30/21,13,29.5,,11,,,,,,,,,,,
3/30/21,15,5.57,,14,2,2,,,,,,,,,
4/1/21,1,23.86,,8.4,1,,,1,,,,,3,Orange/2019,
4/1/21,2,14.94,,9.4,1,,1,,,,,,1,Red/2021/2020,
4/1/21,5,21.1,,8.8,1,1,,,,,,,4,Yellow/2017,
4/1/21,6,0.3,,6.5,4,3,,1,,,,1,,,
4/1/21,7,0.48,,7.3,12,7,,1,,4,,,,,
4/1/21,8,4.97,,9.7,1,1,,,,,,1,,,
4/1/21,11,17.2,,8.9,3,3,,,,,,,,,
4/1,12,0.44,,6,1,1,,,,,,,,,
4/1/21,15,,,,,,,,,,,1,,,
4/2/21,7,,,,5,5,,,,,,,1,Orange,
4/2/21,8,,,,8,4,,,,4?,,,2,Red,
4/2/21,11,,,,2,1,1,,,,,,4,Yellow,
4/2/21,12,,,,3,2,,1,,,,,,,
4/2/21,13,,,,1,,1,,,,,,,,
4/2/21,,,,,,,,,,,,,,,
4/5/21,1,2.05,,9.3,2,2,,,,,,,2,Red,
4/5/21,2,0.37,,9.2,1,,,1,,,,,12,Orange,
4/5/21,3,0.28,,8.9,,,,,,,,,5,Yellow,
4/5/21,4,4.78,,8.6,1,1,,,,,,,,,
4/5/21,5,1.13,,9.8,5,2,,3,,,,,,,
4/5/21,6,0.24,,7.3,8,4,1,2,,1,,,,,
4/5/21,7,6.81,,10,6,5,1,,,,,,,,
4/5/21,8,0.29,,9.2,1,1,,,,,,,,,
4/5/21,9,18.8,,9.3,2,2,,,,,,,,,
4/5/21,10,0.34,,8.3,,,,,,,,,,,
4/5/21,11,0.48,,10.1,1,,,1,,,,,,,
4/5/21,12,0.46,,8.7,3,1,,1,,1,,,,,
4/5/21,13,1.54,,8.8,1,,,,,1,,,,,
4/5/21,15,0.72,,8.8,2,,,1,,1,,,,,
4/5/21,0,,,,10,6,,3,,1,,,,,
4/7/21,1,1.42,,10.8,,,,,,,,,5,Yellow,
4/7/21,2,1.64,,11.8,1,,1,,,,,,6,Orange,
4/7/21,5,11.5,,11.6,2,1,1,,,,,,8,Red,
4/7/21,6,0.3,,10,5,,1,2,,2,,,,,
4/7/21,7,0.56,11.3,10.1,9,2,2,2,,3,,,,,
4/7/21,8,0.26,,11.6,,,,,,,,,,,
4/7/21,9,0.87,,11.1,1,,1,,,,,,,,
4/7/21,11,3.21,,13,,,,,,,,,,,
4/7/21,12,0.3,,10.8,5,1,2,2,,,,,,,
4/7/21,13,13.6,,11.6,,,,,,,,,,,
4/7/21,15,0.68,,11,,,,,,,,,,,
4/10/21,2,0.24,,12.7,1,,1,,,,,,10,Yellow,
4/10/21,5,1.29,,13.9,6,1,1,2,,2,,,12,Orange,
4/10/21,6,0.14,,22.4,17,3,6,4,,4,,,20,Red,
4/10/21,7,6.74,,14,7,4,2,1,,,,,,,
4/10/21,8,0.29,,14,3,2,1,,,,,,,,
4/10/21,11,5.78,,17.5,4,1,1,1,,1,,,,,
4/10/21,12,0.36,,13.6,11,5,2,3,,1,,,,,
4/10/21,13,1.65,,15.4,5,1,2,,,2,,,,,
4/10/21,15,0.9,,14.2,7,3,3,1,,,,,,,
4/10/21,0,,,,4,3,1,,,,,,,,
4/12/21,6,0.08,,12,2,1,,1,,,,,1,Yellow,
4/12/21,7,0.25,,14,6,2,2,2,,,,,3,Orange,
4/12/21,11,0.69,,13.8,1,,,,,1,,,4,Red,
4/12/21,13,3.45,,15.8,1,,1,,,,,,,,
4/12/21,15,0.45,,13.6,2,1,1,,,,,,,,
