date,svl,pool_num,pit_num,image,sex,color,year,air_temp_c,salinity_ppt,pool_temp_c,spermatophores,eggs,notes
2022-03-18,2,0,900043000243266,x,m,orange,2019,4,0,4,,,Upland forest below Otter Cliffs parking lot. Lung tissue herniated upon incision.
2022-03-18,,0,900043000243274,x,m,red,2020_2021,4,0,4,,,"Larger pool above 5, left of 6"
2022-03-19,,7,900043000243216,x,m,red,2020_2021,5,0,5,,,
2022-03-19,5,11,900043000243261,x,m,red,2020_2021,5,0,5,,,
2022-03-19,,0,900043000243278,x,m,yellow,2017,5,0,5,,,In brush above pool 8
2022-03-19,,7,900043000243293,x,m,NA,2022,5,0,5,,,
2022-03-19,,4,900043000243303,x,m,orange,2019,5,0,5,,,
2022-03-20,,0,900043000243247,x,m,NA,2022,5.5,0,5.5,,,
2022-03-20,,7,900043000243305,x,m,NA,2022,5.5,0.29,5.5,,,
2022-03-20,,7,900043000243316,x,m,red,2020_2021,5.5,0.29,5.5,,,
2022-03-20,,7,900043000243330,x,m,red,2020_2021,5.5,0.29,5.5,,,
2022-03-20,,7,900043000243336,x,m,red,2020_2021,5.5,0.29,5.5,,,
2022-03-20,,0,900043000243337,x,m,NA,2022,5.5,0,5.5,,,
2022-03-20,10,12,900043000243355,x,m,orange,2019,5.5,0.3,5.5,,,
2022-03-20,,5,900043000243358,x,m,NA,2022,5.5,0.32,5.5,,,
2022-03-20,,5,900043000243382,x,m,NA,2022,5.5,0.32,5.5,,,
2022-03-20,,5,900043000243383,x,m,NA,2022,5.5,0.32,5.5,,,
2022-03-24,,6,900043000243208,x,f,orange,2019,1.6,0.19,4.3,,,
2022-03-24,2,7,900043000243264,x,m,orange,2019,1.6,0.2,4.4,,,
2022-03-25,,0,900043000243325,x,m,NA,2022,2.2,0.19,5.2,,,
2022-03-25,8,6,900043000243347,x,m,NA,2022,2.2,0.27,5.8,,,
2022-03-25,,0,900043000243359,x,f,red,2020_2021,2.2,0.19,5.2,,,
2022-03-25,,13,900043000243372,x,m,NA,2022,2.2,0.3,5.9,,,
2022-03-25,,7,900043000243373,x,m,orange,2019,2.2,0.27,5.8,,,
2022-03-25,,1,900043000243379,x,m,NA,2022,2.2,0.36,5.4,,,
2022-03-25,,7,900043000243384,x,m,orange,2019,2.2,0.27,5.8,,,Regenerating foot. Color tag extremely subtle
2022-03-25,,1,900043000243402,x,m,orange,2019,2.2,0.36,5.4,,,
2022-03-26,,3,900043000243211,x,m,orange,2019,5,0.29,8.5,,,"Another salamander evaded capture, but we measured salinity in the deeper part of the pool where it was seen: 1.1ppt 9.1°C"
2022-03-26,2,7,900043000243289,x,m,pink,2018,5,0.24,9.2,,,
2022-03-27,,5,900043000243242,x,m,yellow,2017,4.4,0.26,8.4,,,
2022-03-27,2,7,900043000243265,x,m,NA,2022,4.4,0.22,9,,,
2022-03-31,,0,900043000243212,x,m,NA,2022,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,0,900043000243221,x,m,NA,2022,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,0,900043000243248,x,m,red,2020_2021,3.8,0.12,7.7,,,Outside pool 9
2022-03-31,,0,900043000243252,x,m,orange,2019,3.8,0.12,7.7,,,Outside pool 9
