date,pool,salinity,salinity2,pool_temp,total,unmarked,red,orange,pink,yellow,dead
2015-04-14,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA
2015-04-16,NA,0.1,NA,10.4,NA,NA,NA,NA,NA,NA,NA
2015-04-16,NA,0.2,NA,8.8,NA,NA,NA,NA,NA,NA,NA
2015-04-18,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA
2015-04-19,NA,0.1,NA,NA,129,NA,NA,NA,NA,NA,NA
2015-04-20,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA
2015-04-21,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,2
2015-04-21,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2
2015-04-21,NA,24,0.1,NA,NA,1,NA,NA,NA,NA,NA
2015-04-21,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA
2015-04-21,NA,0.5,NA,NA,NA,30,NA,NA,NA,NA,NA
2015-04-21,NA,0.2,NA,NA,NA,20,NA,NA,NA,NA,NA
2015-04-21,NA,14,1,NA,NA,5,NA,NA,NA,NA,NA
2015-04-21,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA
2015-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2015-04-23,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1
2015-04-23,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-23,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-23,NA,30,NA,NA,NA,1,NA,NA,NA,NA,NA
2015-04-23,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-23,NA,0.3,NA,NA,NA,4,NA,NA,NA,NA,NA
2015-04-23,NA,0.4,NA,NA,NA,3,NA,NA,NA,NA,NA
2015-04-24,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
2015-04-25,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
2015-04-25,NA,26.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-25,NA,27.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-25,NA,5.5,2,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-25,NA,29,22.9,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-25,NA,2.1,NA,NA,NA,1,NA,NA,NA,NA,NA
2015-04-25,NA,0.4,NA,NA,NA,1,NA,NA,NA,NA,NA
2015-04-27,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
2015-04-28,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
2015-04-28,NA,0.1,NA,NA,NA,1,NA,NA,NA,NA,NA
2015-04-28,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-28,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-28,NA,22,NA,NA,NA,1,NA,NA,NA,NA,NA
2015-04-28,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-28,NA,9.2,3,NA,NA,2,NA,NA,NA,NA,NA
2015-05-01,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2015-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-02,0,NA,NA,NA,3,3,NA,NA,NA,NA,NA
2016-04-02,1,0.2,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-02,2,0.2,NA,NA,5,5,NA,NA,NA,NA,NA
2016-04-02,3,0.3,NA,NA,14,14,NA,NA,NA,NA,NA
2016-04-02,4,0.3,NA,NA,4,4,NA,NA,NA,NA,NA
2016-04-02,6,0.2,NA,NA,4,4,NA,NA,NA,NA,NA
2016-04-02,7,0.3,NA,NA,3,3,NA,NA,NA,NA,NA
2016-04-02,8,0.9,NA,NA,6,6,NA,NA,NA,NA,NA
2016-04-02,9,0.3,NA,NA,3,3,NA,NA,NA,NA,NA
2016-04-02,10,0.9,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-02,11,0.3,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-02,12,0.2,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-02,13,0.4,NA,NA,2,2,NA,NA,NA,NA,NA
2016-04-04,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-07,2,0.2,NA,NA,4,4,NA,NA,NA,NA,NA
2016-04-07,3,0.2,NA,NA,7,7,NA,NA,NA,NA,NA
2016-04-07,7,0.3,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-07,8,0.5,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-07,9,0.3,NA,NA,2,2,NA,NA,NA,NA,NA
2016-04-07,11,0.3,NA,NA,8,8,NA,NA,NA,NA,NA
2016-04-09,3,28,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-12,2,10.7,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-12,3,24.2,NA,NA,4,4,NA,NA,NA,NA,NA
2016-04-12,11,0.9,NA,NA,2,2,NA,NA,NA,NA,NA
2016-04-12,13,2.2,NA,NA,1,1,NA,NA,NA,NA,NA
2016-04-12,14,10.9,NA,NA,2,2,NA,NA,NA,NA,NA
2016-04-20,8,0.8,3.2,NA,1,1,NA,NA,NA,NA,NA
2016-05-07,2,0.2,NA,NA,1,1,NA,NA,NA,NA,NA
2017-04-11,2,4.11,NA,NA,2,2,NA,NA,NA,NA,NA
2017-04-11,5,0.25,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-11,6,0.18,NA,NA,5,5,NA,NA,NA,NA,NA
2017-04-11,7,4.54,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-11,8,0.29,NA,NA,1,1,NA,NA,NA,NA,NA
2017-04-11,12,0.39,NA,NA,9,9,NA,NA,NA,NA,NA
2017-04-11,13,0.58,NA,NA,7,7,NA,NA,NA,NA,NA
2017-04-11,15,0.68,NA,NA,4,4,NA,NA,NA,NA,NA
2017-04-14,4,0.36,NA,NA,1,1,NA,NA,NA,NA,NA
2017-04-14,7,0.26,NA,NA,4,4,NA,NA,NA,NA,NA
2017-04-14,8,0.23,NA,NA,1,1,NA,NA,NA,NA,NA
2017-04-14,9,0.24,NA,NA,1,1,NA,NA,NA,NA,NA
2017-04-14,10,0.5,NA,NA,2,2,NA,NA,NA,NA,NA
2017-04-14,11,6.42,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-14,13,0.19,NA,NA,2,2,NA,NA,NA,NA,NA
2017-04-14,15,0.45,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-16,1,0.28,NA,NA,2,2,NA,NA,NA,NA,NA
2017-04-16,3,17.35,NA,NA,4,4,NA,NA,NA,NA,NA
2017-04-16,5,0.18,NA,NA,15,15,NA,NA,NA,NA,NA
2017-04-16,7,0.29,NA,NA,15,15,NA,NA,NA,NA,NA
2017-04-16,12,0.32,NA,NA,15,15,NA,NA,NA,NA,NA
2017-04-20,3,0.23,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-20,6,0.31,NA,NA,3,3,NA,NA,NA,NA,NA
2017-04-20,7,0.3,NA,NA,4,4,NA,NA,NA,NA,NA
2017-04-20,11,0.3,NA,NA,2,2,NA,NA,NA,NA,NA
2018-04-07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,0,NA,NA,NA,14,14,NA,NA,NA,NA,NA
2018-04-13,1,0.9,NA,NA,5,4,NA,NA,NA,1,NA
2018-04-13,2,7.41,NA,NA,3,3,NA,NA,NA,NA,NA
2018-04-13,5,0.12,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-13,6,0.13,NA,NA,8,5,NA,NA,NA,3,NA
2018-04-13,7,7.69,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-13,8,0.13,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-13,9,3.38,NA,NA,0,NA,NA,NA,NA,NA,1
2018-04-13,11,3.75,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-13,12,0.38,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-17,11,32.5,NA,NA,0,NA,NA,NA,NA,NA,3
2018-04-17,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2018-04-17,13,7.9,NA,NA,0,NA,NA,NA,NA,NA,1
2018-04-19,7,3.4,30.6,NA,1,NA,NA,NA,NA,1,NA
2018-04-19,8,0.5,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-19,11,18.5,32.5,NA,0,NA,NA,NA,NA,NA,NA
2018-04-19,12,0.7,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-19,13,14.8,28.3,NA,0,NA,NA,NA,NA,NA,NA
2018-04-19,15,4.3,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-19,18,0.18,NA,NA,1,NA,NA,NA,1,NA,NA
2018-04-20,14,2.35,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-22,7,0.17,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-22,11,18.3,NA,NA,1,NA,NA,NA,1,NA,NA
2018-04-22,12,0.91,NA,NA,2,NA,NA,NA,2,NA,NA
2018-04-22,15,1.13,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-25,5,0.29,NA,NA,5,4,NA,NA,NA,1,NA
2018-04-25,7,1.92,NA,NA,20,19,NA,NA,NA,1,NA
2018-04-26,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA
2018-04-26,5,0.79,NA,NA,1,NA,NA,NA,NA,1,NA
2018-04-27,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2018-04-27,7,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2018-04-29,7,6.11,NA,NA,0,NA,NA,NA,NA,NA,NA
2018-04-29,11,0.44,NA,NA,1,1,NA,NA,NA,NA,NA
2018-04-29,12,0.26,NA,NA,5,4,NA,NA,1,NA,NA
2018-04-29,13,0.25,NA,NA,4,4,NA,NA,NA,NA,NA
2018-04-29,14,3.04,NA,NA,1,1,NA,NA,NA,NA,NA
2018-05-01,1,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-30,8,NA,NA,NA,1,NA,NA,NA,NA,1,NA
2019-03-30,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-03,8,0.2,NA,6,1,1,NA,NA,NA,NA,NA
2019-04-03,5,0.22,NA,4.9,1,1,NA,NA,NA,NA,NA
2019-04-03,11,17.7,NA,9,1,1,NA,NA,NA,NA,NA
2019-04-03,7,23,NA,6.7,1,1,NA,NA,NA,NA,NA
2019-04-06,11,0.25,NA,8.3,1,NA,NA,NA,NA,1,NA
2019-04-06,0,0.11,NA,5.7,1,NA,NA,NA,NA,1,NA
2019-04-06,7,0.4,NA,9.1,4,3,NA,NA,NA,1,NA
2019-04-06,15,0.27,NA,6.7,1,1,NA,NA,NA,NA,NA
2019-04-13,2,0.22,NA,NA,1,1,NA,NA,1,NA,NA
2019-04-13,4,8.73,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-13,5,0.18,NA,NA,10,9,NA,NA,NA,NA,NA
2019-04-13,6,0.14,NA,NA,5,5,NA,NA,NA,NA,NA
2019-04-13,7,1.16,NA,NA,25,10,NA,NA,NA,NA,NA
2019-04-13,8,0.13,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-13,9,0.14,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-13,10,0.2,NA,NA,2,NA,NA,NA,1,1,NA
2019-04-13,11,0.36,NA,NA,7,NA,NA,NA,1,NA,NA
2019-04-13,12,0.21,NA,NA,9,5,NA,NA,NA,NA,NA
2019-04-13,13,0.23,NA,NA,9,4,NA,NA,NA,1,NA
2019-04-13,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2019-04-14,1,0.56,NA,NA,4,NA,NA,NA,NA,NA,NA
2019-04-14,2,1.8,NA,NA,3,NA,NA,NA,NA,NA,NA
2019-04-14,5,0.14,NA,NA,3,NA,NA,NA,NA,NA,NA
2019-04-14,6,0.12,NA,NA,3,NA,NA,NA,NA,NA,NA
2019-04-14,7,1.02,NA,NA,5,NA,NA,NA,NA,NA,NA
2019-04-14,12,0.2,NA,NA,2,NA,NA,NA,NA,NA,NA
2019-04-15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2019-04-15,1,0.15,NA,NA,2,NA,NA,NA,NA,1,NA
2019-04-15,2,0.44,NA,NA,3,2,NA,NA,1,NA,NA
2019-04-15,4,3.56,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-15,5,0.16,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,6,0.17,NA,NA,9,NA,NA,NA,NA,NA,NA
2019-04-15,7,0.22,NA,NA,29,15,NA,NA,NA,3,NA
2019-04-15,8,0.16,NA,NA,1,NA,NA,NA,NA,1,NA
2019-04-15,9,0.14,NA,NA,2,NA,NA,NA,NA,NA,NA
2019-04-15,10,0.19,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-15,11,4.63,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,12,0.24,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,13,0.23,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,15,0.34,NA,NA,12,NA,NA,NA,NA,NA,NA
2019-04-17,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-17,2,0.39,NA,10.6,2,2,NA,NA,NA,NA,NA
2019-04-17,7,0.15,NA,9.7,1,1,NA,NA,NA,NA,NA
2019-04-17,9,3.44,NA,11.5,1,1,NA,NA,NA,NA,NA
2019-04-17,11,9.26,NA,11.8,0,NA,NA,NA,NA,NA,NA
