date,pool,pit,color,sex,year,salinity,pool_temp,notes,recap
2022-03-18,0,3266,orange,m,2019,0,4,Upland forest below Otter Cliffs parking lot. Lung tissue herniated upon incision.,yes
2022-03-18,0,3274,red,m,2020_2021,0,4,"Larger pool above 5, left of 6",yes
2022-03-19,7,3216,red,m,2020_2021,0,5,NA,yes
2022-03-19,11,3261,red,m,2020_2021,0,5,NA,yes
2022-03-19,12,3266,orange,m,2019,0,5,Severed herniated lung tissue upon recapture. Hopes are higher for this individual's recovery.,yes
2022-03-19,5,3274,red,m,2020_2021,0,5,"Accidentally double-tagged, #900043000243219",yes
2022-03-19,0,3278,yellow,m,2017,0,5,In brush above pool 8,yes
2022-03-19,7,3293,NA,m,2022,0,5,NA,no
2022-03-19,4,3303,orange,m,2019,0,5,NA,yes
2022-03-20,7,3216,red,m,2020_2021,0.29,5.5,NA,yes
2022-03-20,0,3247,NA,m,2022,0,5.5,NA,no
2022-03-20,5,3278,yellow,m,2017,0.32,5.5,NA,yes
2022-03-20,7,3305,NA,m,2022,0.29,5.5,NA,no
2022-03-20,7,3316,red,m,2020_2021,0.29,5.5,NA,yes
2022-03-20,7,3330,red,m,2020_2021,0.29,5.5,NA,yes
2022-03-20,7,3336,red,m,2020_2021,0.29,5.5,NA,yes
2022-03-20,0,3337,NA,m,2022,0,5.5,NA,no
2022-03-20,12,3355,orange,m,2019,0.3,5.5,NA,yes
2022-03-20,5,3358,NA,m,2022,0.32,5.5,NA,no
2022-03-20,5,3382,NA,m,2022,0.32,5.5,NA,no
2022-03-20,5,3383,NA,m,2022,0.32,5.5,NA,no
2022-03-21,0,3336,red,m,2020_2021,0,2,In moss just above pool 6,yes
2022-03-24,6,3208,orange,f,2019,0.19,4.3,NA,yes
2022-03-24,7,3216,red,m,2020_2021,0.2,4.4,NA,yes
2022-03-24,7,3261,red,m,2020_2021,0.2,4.4,NA,yes
2022-03-24,7,3264,orange,m,2019,0.2,4.4,NA,yes
2022-03-24,7,3274,red,m,2020_2021,0.2,4.4,NA,yes
2022-03-24,6,3337,NA,m,2022,0.19,4.3,NA,no
2022-03-25,7,3216,red,m,2020_2021,0.27,5.8,NA,yes
2022-03-25,7,3261,red,m,2020_2021,0.27,5.8,NA,yes
